	gene_short_name
Q0045	Q0045
Q0050	Q0050
Q0055	Q0055
Q0065	Q0065
YAL001C	YAL001C
YAL002W	YAL002W
YAL003W	YAL003W
YAL005C	YAL005C
YAL007C	YAL007C
YAL008W	YAL008W
YAL012W	YAL012W
YAL013W	YAL013W
YAL014C	YAL014C
YAL015C	YAL015C
YAL016W	YAL016W
YAL017W	YAL017W
YAL019W	YAL019W
YAL021C	YAL021C
YAL022C	YAL022C
YAL023C	YAL023C
YAL025C	YAL025C
YAL026C	YAL026C
YAL029C	YAL029C
YAL030W	YAL030W
YAL031C	YAL031C
YAL032C	YAL032C
YAL033W	YAL033W
YAL034C	YAL034C
YAL034W-A	YAL034W-A
YAL035W	YAL035W
YAL036C	YAL036C
YAL037C-A	YAL037C-A
YAL037C-B	YAL037C-B
YAL038W	YAL038W
YAL039C	YAL039C
YAL040C	YAL040C
YAL041W	YAL041W
YAL042W	YAL042W
YAL043C	YAL043C
YAL044C	YAL044C
YAL046C	YAL046C
YAL049C	YAL049C
YAL053W	YAL053W
YAL055W	YAL055W
YAL060W	YAL060W
YAL061W	YAL061W
YAL062W	YAL062W
YAR002C-A	YAR002C-A
YAR002W	YAR002W
YAR003W	YAR003W
YAR007C	YAR007C
YAR009C	YAR009C
YAR010C	YAR010C
YAR014C	YAR014C
YAR015W	YAR015W
YAR018C	YAR018C
YAR027W	YAR027W
YAR033W	YAR033W
YAR042W	YAR042W
YAR071W	YAR071W
YBL001C	YBL001C
YBL002W	YBL002W
YBL003C	YBL003C
YBL004W	YBL004W
YBL005W	YBL005W
YBL005W-B	YBL005W-B
YBL006C	YBL006C
YBL007C	YBL007C
YBL011W	YBL011W
YBL015W	YBL015W
YBL016W	YBL016W
YBL017C	YBL017C
YBL018C	YBL018C
YBL020W	YBL020W
YBL022C	YBL022C
YBL024W	YBL024W
YBL026W	YBL026W
YBL027W	YBL027W
YBL028C	YBL028C
YBL029C-A	YBL029C-A
YBL030C	YBL030C
YBL032W	YBL032W
YBL033C	YBL033C
YBL034C	YBL034C
YBL036C	YBL036C
YBL037W	YBL037W
YBL038W	YBL038W
YBL039C	YBL039C
YBL040C	YBL040C
YBL041W	YBL041W
YBL045C	YBL045C
YBL047C	YBL047C
YBL050W	YBL050W
YBL051C	YBL051C
YBL052C	YBL052C
YBL056W	YBL056W
YBL057C	YBL057C
YBL058W	YBL058W
YBL059C-A	YBL059C-A
YBL060W	YBL060W
YBL061C	YBL061C
YBL064C	YBL064C
YBL067C	YBL067C
YBL068W	YBL068W
YBL071C	YBL071C
YBL071W-A	YBL071W-A
YBL072C	YBL072C
YBL076C	YBL076C
YBL078C	YBL078C
YBL079W	YBL079W
YBL081W	YBL081W
YBL082C	YBL082C
YBL084C	YBL084C
YBL085W	YBL085W
YBL086C	YBL086C
YBL087C	YBL087C
YBL088C	YBL088C
YBL091C	YBL091C
YBL091C-A	YBL091C-A
YBL092W	YBL092W
YBL093C	YBL093C
YBL095W	YBL095W
YBL096C	YBL096C
YBL099W	YBL099W
YBL100C	YBL100C
YBL100W-B	YBL100W-B
YBL101C	YBL101C
YBL102W	YBL102W
YBL103C	YBL103C
YBL105C	YBL105C
YBL107C	YBL107C
YBR001C	YBR001C
YBR002C	YBR002C
YBR003W	YBR003W
YBR005W	YBR005W
YBR006W	YBR006W
YBR009C	YBR009C
YBR010W	YBR010W
YBR011C	YBR011C
YBR012W-B	YBR012W-B
YBR013C	YBR013C
YBR014C	YBR014C
YBR015C	YBR015C
YBR016W	YBR016W
YBR017C	YBR017C
YBR022W	YBR022W
YBR023C	YBR023C
YBR024W	YBR024W
YBR025C	YBR025C
YBR026C	YBR026C
YBR029C	YBR029C
YBR031W	YBR031W
YBR034C	YBR034C
YBR035C	YBR035C
YBR036C	YBR036C
YBR037C	YBR037C
YBR038W	YBR038W
YBR039W	YBR039W
YBR041W	YBR041W
YBR042C	YBR042C
YBR046C	YBR046C
YBR048W	YBR048W
YBR049C	YBR049C
YBR052C	YBR052C
YBR053C	YBR053C
YBR055C	YBR055C
YBR056W	YBR056W
YBR057C	YBR057C
YBR058C	YBR058C
YBR058C-A	YBR058C-A
YBR059C	YBR059C
YBR060C	YBR060C
YBR061C	YBR061C
YBR062C	YBR062C
YBR065C	YBR065C
YBR066C	YBR066C
YBR067C	YBR067C
YBR068C	YBR068C
YBR069C	YBR069C
YBR072W	YBR072W
YBR073W	YBR073W
YBR074W	YBR074W
YBR076C-A	YBR076C-A
YBR077C	YBR077C
YBR078W	YBR078W
YBR079C	YBR079C
YBR080C	YBR080C
YBR081C	YBR081C
YBR082C	YBR082C
YBR083W	YBR083W
YBR084C-A	YBR084C-A
YBR084W	YBR084W
YBR085C-A	YBR085C-A
YBR086C	YBR086C
YBR087W	YBR087W
YBR089C-A	YBR089C-A
YBR091C	YBR091C
YBR092C	YBR092C
YBR093C	YBR093C
YBR094W	YBR094W
YBR095C	YBR095C
YBR096W	YBR096W
YBR097W	YBR097W
YBR101C	YBR101C
YBR102C	YBR102C
YBR103W	YBR103W
YBR105C	YBR105C
YBR106W	YBR106W
YBR108W	YBR108W
YBR109C	YBR109C
YBR110W	YBR110W
YBR111C	YBR111C
YBR111W-A	YBR111W-A
YBR112C	YBR112C
YBR113W	YBR113W
YBR114W	YBR114W
YBR115C	YBR115C
YBR116C	YBR116C
YBR117C	YBR117C
YBR118W	YBR118W
YBR120C	YBR120C
YBR121C	YBR121C
YBR122C	YBR122C
YBR123C	YBR123C
YBR125C	YBR125C
YBR126C	YBR126C
YBR126W-A	YBR126W-A
YBR126W-B	YBR126W-B
