,Pseudotime
BY4741_Unstressed_1784042189_BY43___Unstressed,0
BY4741_Unstressed_1784042189_BY45___Unstressed,0.0136271516343176
BY4741_Unstressed_1784042189_BY38___Unstressed,0.149446941257185
BY4741_Unstressed_1784042189_BY15___Unstressed,0.150316455817955
BY4741_Unstressed_1784042189_BY62___Unstressed,0.169994594280488
BY4741_Unstressed_1784042189_BY37___Unstressed,0.185847442778069
BY4741_Unstressed_1784042189_BY91___Unstressed,0.19972174553285
BY4741_Unstressed_1784042189_BY32___Unstressed,0.216532735630006
BY4741_Unstressed_1784042189_BY31___Unstressed,0.253230270805
BY4741_Unstressed_1784042189_BY82___Unstressed,0.265525081619487
BY4741_Unstressed_1784042189_BY63___Unstressed,0.298621773272781
BY4741_Unstressed_1784042189_BY68___Unstressed,0.299607994904677
BY4741_Unstressed_1784042189_BY51___Unstressed,0.318317988497697
BY4741_Unstressed_1784042189_BY12___Unstressed,0.349156538311805
BY4741_Unstressed_1784042189_BY66___Unstressed,0.354972926224036
BY4741_Unstressed_1784042189_BY6___Unstressed,0.373147639690336
BY4741_Unstressed_1784042189_BY72___Unstressed,0.373409477657707
BY4741_Unstressed_1784042189_BY78___Unstressed,0.374494709807174
BY4741_Unstressed_1784042189_BY8___Unstressed,0.375636170897341
BY4741_Unstressed_1784042189_BY77___Unstressed,0.376992891369923
BY4741_Unstressed_1784042189_BY21___Unstressed,0.389433735709823
BY4741_Unstressed_1784042189_BY34___Unstressed,0.410720961223637
BY4741_Unstressed_1784042189_BY17___Unstressed,0.445543778813564
BY4741_Unstressed_1784042189_BY54___Unstressed,0.446864897265612
BY4741_Unstressed_1784042189_BY76___Unstressed,0.448235390580479
BY4741_Unstressed_1784042189_BY65___Unstressed,0.450743243329226
BY4741_Unstressed_1784042189_BY74___Unstressed,0.450800206371034
BY4741_Unstressed_1784042189_BY86___Unstressed,0.455544773964714
BY4741_Unstressed_1784042189_BY5___Unstressed,0.458760337247233
BY4741_Unstressed_1784042189_BY87___Unstressed,0.476853800210755
BY4741_Unstressed_1784042189_BY22___Unstressed,0.490115722150234
BY4741_Unstressed_1784042189_BY50___Unstressed,0.497479002598913
