dataset	algorithm	proc	n_edges	GS_src	AUPR
gasch_GSE102475	inferelator	normalized	all_edges	hu	0.02605875303114381
gasch_GSE102475	inferelator	normalized	all_edges	mac2	0.024760571037556172
gasch_GSE102475	inferelator	normalized	all_edges	yeastract_c3	0.028131612072622318
gasch_GSE102475	inferelator	normalized	all_edges	yeastract_t2	0.028077282455208574
gasch_GSE102475	inferelator	normalized	all_edges	yeast_chipunion	0.04072167896284413
gasch_GSE102475	inferelator	normalized	all_edges	yeast_KDUnion	0.03251576607114667
gasch_GSE102475	inferelator	normalized	all_edges	yeast_chipunion_KDUnion_intersect	0.02715670731318102
han_GSE107552	inferelator	normalized	all_edges	hESC_encodechip	0.4275593971101809
han_GSE107552	inferelator	normalized	all_edges	hESC_escapechip	0.1646962911278267
han_GSE107552	inferelator	normalized	all_edges	hESC_chipunion	0.3314201333271743
han_GSE107552	inferelator	normalized	all_edges	hESC_logof	0.13187713239659968
han_GSE107552	inferelator	normalized	all_edges	hESC_nishiyama	0.07244355909646029
han_GSE107552	inferelator	normalized	all_edges	hESC_KDUnion	0.08665288339090431
han_GSE107552	inferelator	normalized	all_edges	hESC_chipunion_KDUnion_intersect	0.08392370968042341
han_GSE107552	inferelator	normalized	all_edges	hESC_lit	0.1364870874848483
sridharan_A2S	inferelator	normalized	all_edges	mESC_escapechip	0.18056407775133546
sridharan_A2S	inferelator	normalized	all_edges	mESC_encodechip	0.6381132608314686
sridharan_A2S	inferelator	normalized	all_edges	mESC_chipunion	0.1831683266331009
sridharan_A2S	inferelator	normalized	all_edges	mESC_logof	0.1231829191527964
sridharan_A2S	inferelator	normalized	all_edges	mESC_nishiyama	0.0627647485438018
sridharan_A2S	inferelator	normalized	all_edges	mESC_KDUnion	0.07683557681686402
sridharan_A2S	inferelator	normalized	all_edges	mESC_chipunion_KDUnion_intersect	0.08054116567472455
sridharan_A2S	inferelator	normalized	all_edges	mESC_ATAC_Day4Day6Union	0.1176170023400197
sridharan_A2S	inferelator	normalized	all_edges	mESC_lit	0.1849138069316961
sridharan_FBS	inferelator	normalized	all_edges	mESC_escapechip	0.17700001224412568
sridharan_FBS	inferelator	normalized	all_edges	mESC_encodechip	0.6440870460492432
sridharan_FBS	inferelator	normalized	all_edges	mESC_chipunion	0.17945596037730507
sridharan_FBS	inferelator	normalized	all_edges	mESC_logof	0.12325620599898127
sridharan_FBS	inferelator	normalized	all_edges	mESC_nishiyama	0.0615529932619803
sridharan_FBS	inferelator	normalized	all_edges	mESC_KDUnion	0.07564035858314594
sridharan_FBS	inferelator	normalized	all_edges	mESC_chipunion_KDUnion_intersect	0.08474328065333782
sridharan_FBS	inferelator	normalized	all_edges	mESC_ATAC_Day4Day6Union	0.11964139787478124
sridharan_FBS	inferelator	normalized	all_edges	mESC_lit	0.2127826845885953
shalek_GSE48968	inferelator	normalized	all_edges	mDC_chipunion	0.47832837359425673
shalek_GSE48968	inferelator	normalized	all_edges	mDC_KDUnion	0.21095675854220317
shalek_GSE48968	inferelator	normalized	all_edges	mDC_chipunion_KDUnion_intersect	0.3922224451528506
zhao_GSE114952	inferelator	normalized	all_edges	mESC_escapechip	0.17168381088135537
zhao_GSE114952	inferelator	normalized	all_edges	mESC_encodechip	0.6275463607033229
zhao_GSE114952	inferelator	normalized	all_edges	mESC_chipunion	0.1754256904731076
zhao_GSE114952	inferelator	normalized	all_edges	mESC_logof	0.13428679703684443
zhao_GSE114952	inferelator	normalized	all_edges	mESC_nishiyama	0.0802744248416017
zhao_GSE114952	inferelator	normalized	all_edges	mESC_KDUnion	0.09581273363458553
