dataset	algorithm	proc	n_edges	GS_src	n_TFs	pred_TFs
gasch_GSE102475	inferelator	normalized	5000	hu	0	NA
gasch_GSE102475	inferelator	normalized	10000	hu	0	NA
gasch_GSE102475	inferelator	normalized	50000	hu	0	NA
gasch_GSE102475	inferelator	normalized	5000	mac2	0	NA
gasch_GSE102475	inferelator	normalized	10000	mac2	1	YLR182W
gasch_GSE102475	inferelator	normalized	50000	mac2	1	YLR182W
gasch_GSE102475	inferelator	normalized	5000	yeastract_c3	1	YMR037C
gasch_GSE102475	inferelator	normalized	10000	yeastract_c3	1	YMR037C
gasch_GSE102475	inferelator	normalized	50000	yeastract_c3	1	YMR037C
gasch_GSE102475	inferelator	normalized	5000	yeastract_t2	1	YMR037C
gasch_GSE102475	inferelator	normalized	10000	yeastract_t2	1	YMR037C
gasch_GSE102475	inferelator	normalized	50000	yeastract_t2	1	YMR037C
gasch_GSE102475	inferelator	normalized	5000	yeast_chipunion	0	NA
gasch_GSE102475	inferelator	normalized	10000	yeast_chipunion	1	YMR037C
gasch_GSE102475	inferelator	normalized	50000	yeast_chipunion	0	NA
gasch_GSE102475	inferelator	normalized	5000	yeast_KDUnion	2	YIL101C,YMR037C
gasch_GSE102475	inferelator	normalized	10000	yeast_KDUnion	2	YIL101C,YMR037C
gasch_GSE102475	inferelator	normalized	50000	yeast_KDUnion	3	YEL009C,YIL101C,YMR037C
gasch_GSE102475	inferelator	normalized	5000	yeast_chipunion_KDUnion_intersect	0	NA
gasch_GSE102475	inferelator	normalized	10000	yeast_chipunion_KDUnion_intersect	0	NA
gasch_GSE102475	inferelator	normalized	50000	yeast_chipunion_KDUnion_intersect	0	NA
han_GSE107552	inferelator	normalized	5000	hESC_encodechip	4	CHD1,EGR1,NANOG,POU5F1
han_GSE107552	inferelator	normalized	10000	hESC_encodechip	6	CHD1,EGR1,JUND,NANOG,POU5F1,TAF7
han_GSE107552	inferelator	normalized	50000	hESC_encodechip	4	EGR1,NANOG,POU5F1,TAF7
han_GSE107552	inferelator	normalized	5000	hESC_escapechip	1	CDX2
han_GSE107552	inferelator	normalized	10000	hESC_escapechip	0	NA
