TF	Hu-GENIE3	Hu-Inferelator	Hu-MERLIN	Hu-MERLIN-P	MacIsaac-GENIE3	MacIsaac-Inferelator	MacIsaac-MERLIN	MacIsaac-MERLIN-P	YeastractC3-GENIE3	YeastractC3-Inferelator	YeastractC3-MERLIN	YeastractC3-MERLIN-P	YeastractT2-GENIE3	YeastractT2-Inferelator	YeastractT2-MERLIN	YeastractT2-MERLIN-P
YAL051W	0	0	7.28762	9.44691	-1	-1	-1	-1	34.7818	13.1931	10.9314	4.72346	15.1225	5.73613	4.7528	6.16103
YBL005W	0	0	0	0	0	0	0	17.2342	0	5.40395	15.0039	11.4895	0	4.20308	8.33551	7.02135
YBR049C	0	0.387757	0	0.60271	1.05168	5.25103	0	5.05262	0	4.09519	0	5.51664	0	4.57973	0	6.36917
YBR083W	0	0	12.5033	3.51654	20.4599	4.78849	16.671	15.8244	32.608	7.63165	17.713	16.8135	15.8099	5.55029	14.4924	8.15199
YBR150C	0	4.27009	0	13.6643	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
YBR240C	0	4.10956	0	0	4.6432	9.7602	25.8514	28.1324	7.42913	15.6163	41.3622	45.0118	10.613	11.1545	29.5444	32.1513
YCR106W	12.146	3.98542	7.59127	5.85015	0	2.39125	0	10.5303	-1	-1	-1	-1	-1	-1	-1	-1
YDL020C	0	2.52416	0	3.21333	6.54017	6.38807	3.79752	3.87247	0	8.65052	10.2849	10.4879	6.7478	8.94475	11.7542	7.99081
YDL056W	0	0	0	0	3.37688	6.70685	1.03182	5.10752	5.99687	6.41331	3.66475	5.77198	0	9.24155	4.62077	6.23804
YDR043C	4.11398	1.30136	3.07309	2.21797	1.66783	3.69305	1.24585	6.29424	2.28554	4.33787	0	2.46441	3.85685	3.05006	1.44051	4.1587
YDR123C	0	0	0	0	14.8103	3.12327	20.6811	3.47818	54.853	0	57.4474	19.3232	24.6839	7.80816	41.3622	26.0864
YDR146C	0	0	0	0	3.41607	2.58793	5.53958	5.60012	3.90408	1.18306	4.22063	7.68016	0	1.93232	3.44685	6.27213
YDR207C	-1	0.97602	0	2.63197	-1	4.98177	0	8.50819	-1	0	0	7.81614	-1	3.54259	0	11.1452
YDR213W	0	0	0	0	-1	-1	-1	-1	0	0	0	10.6278	0	0	0	8.50222
YDR216W	0	0	0	0	5.35854	0	0	0	6.25163	6.14618	11.5939	3.47818	5.96747	3.66676	11.8574	2.37149
YDR253C	-1	0	0	0	-1	14.4105	28.9848	12.6899	-1	38.9085	34.7818	34.2627	-1	24.3178	43.4773	28.5522
YDR259C	0	0	0	0	21.2556	2.89191	3.14897	6.45738	68.3214	1.85909	0	13.8373	0	1.53101	0	2.84885
YDR421W	0	2.70007	11.7723	0	20.3511	17.5505	0	26.9437	10.1755	4.38761	19.13	13.4718	13.5674	11.7003	0	17.9624
YDR423C	0	0	0	6.54017	0	3.64381	0	4.36011	0	3.21513	0	5.77074	0	0	0	0
YEL009C	0	1.50393	0	0	0.684069	4.4486	5.48924	7.51198	0.778456	3.68175	4.58936	6.83877	0.986404	3.43756	4.28497	6.02031
YER028C	1.48122	7.45809	0	12.3221	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	55.4493
