TF	MacIsaac	YeastractC3	YeastractT2	Hu	GENIE3	Inferelator	MERLIN	MERLIN-P
YAL051W	-1	1	1	0	0	1	0	1
YBL005W	0	3	2	0	0	2	1	2
YBL008W	-1	-1	-1	0	0	-1	0	0
YBL021C	0	0	0	0	0	0	0	0
YBL052C	-1	-1	-1	0	0	0	0	0
YBL054W	-1	-1	-1	0	0	0	0	0
YBL066C	-1	-1	-1	0	0	0	0	0
YBL103C	0	0	0	0	0	0	0	0
YBR033W	-1	-1	-1	0	0	0	0	0
YBR049C	2	2	2	0	0	3	0	3
YBR066C	-1	-1	0	-1	0	0	0	0
YBR083W	4	4	4	0	3	3	3	3
YBR103W	-1	-1	-1	0	0	-1	0	0
YBR150C	-1	-1	-1	1	0	0	0	1
YBR182C	-1	0	0	0	-1	0	0	0
YBR195C	-1	-1	-1	0	0	-1	0	0
YBR239C	-1	-1	-1	0	0	0	0	0
YBR240C	2	2	2	0	0	0	3	3
YBR245C	-1	-1	-1	0	0	-1	0	0
YBR275C	-1	-1	-1	0	0	0	0	0
YBR289W	-1	-1	-1	0	0	0	0	0
YBR297W	-1	-1	-1	0	0	0	0	0
YCL055W	-1	-1	0	0	0	0	0	0
YCR065W	-1	-1	-1	0	0	0	0	0
YCR081W	-1	-1	-1	0	0	-1	0	0
YCR084C	-1	-1	-1	0	0	0	0	0
YCR106W	1	-1	-1	0	0	0	0	1
YDL020C	2	2	3	0	0	3	1	3
YDL042C	-1	-1	-1	0	-1	-1	0	0
YDL048C	0	-1	-1	0	0	0	0	0
YDL056W	2	2	2	0	0	3	0	3
YDL070W	-1	-1	-1	0	0	0	0	0
YDL106C	0	0	0	0	0	0	0	0
YDL170W	0	0	0	0	0	0	0	0
YDR009W	-1	-1	-1	0	0	0	0	0
YDR043C	2	1	1	0	0	2	0	2
YDR049W	-1	-1	-1	0	0	0	0	0
YDR073W	-1	-1	-1	0	0	0	0	0
YDR081C	-1	-1	0	-1	0	0	0	0
YDR096W	-1	0	0	-1	0	0	0	0
YDR123C	2	3	3	0	3	0	3	2
YDR146C	1	1	1	0	0	0	0	3
YDR169C	-1	-1	-1	0	0	0	0	0
YDR176W	-1	-1	-1	0	0	0	0	0
YDR181C	-1	-1	-1	0	0	0	0	0
YDR191W	-1	-1	-1	0	0	-1	0	0
YDR207C	2	0	1	0	-1	1	0	2
YDR213W	-1	1	1	0	0	0	0	2
YDR216W	0	2	3	0	2	2	1	0
YDR253C	3	2	3	0	-1	3	2	3
YDR259C	1	1	0	0	0	0	0	2
YDR266C	-1	-1	-1	0	0	0	0	0
YDR277C	-1	-1	-1	0	0	0	0	0
YDR310C	0	0	0	0	0	0	0	0
YDR363W	-1	-1	-1	0	0	0	0	0
YDR392W	-1	-1	-1	0	0	0	0	0
YDR421W	0	1	0	0	0	0	0	1
YDR423C	0	1	0	0	0	0	0	1
YDR443C	-1	-1	-1	0	0	0	0	0
YDR448W	-1	-1	-1	0	0	0	0	0
YDR451C	0	-1	0	0	0	0	0	0
YDR463W	0	0	0	0	0	0	0	0
